,name,city,office_number,address,latitude,longitude,design_distance,school_distance,tech_distance,starbucks_distance,airport_distance,party_distance,vegan_distance,basketball_distance,dog_distance
0,e-contratos,Valencia,1,"Periodista Azzati, 5. 3, 6B",39.469301,-0.377068,290,102,330,144,2694,764,47,2164,1142
1,Modo Marketing,Valencia,1,,39.64073,-0.421944,12235,6721,10444,17226,16778,13436,18016,10499,11722
2,Efebege,Valencia,1,"General Barroso, 66",39.4502107,-0.3924646,1149,608,1132,2559,4660,2052,1996,2256,1363
3,Feasa Valencia,Valencia,1,Cami Vera SN,37.2103,-1.85761,64655,2325,52783,100000,21575,69153,9964,52458,64879
4,DOMODESK,Valencia,1,C/Alqueria de Benlloch 24,39.4612679,-0.3983456,866,84,1055,2031,3528,2120,1985,2961,1305
5,DOMODESK,Madrid,1,C/Arroyo de Fontarron 53,40.4033217,-3.6510254,2546,1643,2202,2356,7740,3027,2640,2880,3372
7,Brightcove,Barcelona,1,Avenida Diagonal 640,41.3939,2.14804,327,796,126,1019,12443,1111,1401,2792,1215
8,eyeOS,Barcelona,1,La Rambla 140 4C,41.3854855,2.1702872,133,1820,58,205,12702,232,198,2875,1718
9,Genoom,Barcelona,1,Gran Capitan 2-4,41.36719,2.06833,1046,2142,956,2344,7919,4181,4652,4548,729
10,]project-open[,Barcelona,1,"Ronda de Sant Antonã, 51, 1o 2a",41.383182,2.163697,346,2229,233,252,12162,335,261,2397,1178
11,Starfish Community Group,Barcelona,1,"Major de Sarria 11, 2-1",41.387917,2.169919,180,1583,118,168,12895,503,356,3095,1498
12,Trovit,Barcelona,1,"Diagonal 601, 9ª",41.388769,2.1299487,176,430,47,56,11257,507,1445,1271,265
13,BMAT,Barcelona,1,Carrer de Llacuna 162,41.406335,2.192023,1257,1323,22,146,14754,167,2369,5219,1223
14,Splendia,Barcelona,1,"2-4, Rambla de Catalunya",41.38756,2.16796,343,1693,81,44,12764,505,277,2987,1541
15,Friend2Friend,Barcelona,1,"RossellÃ³, 25 Baixos 2a",41.39023,2.1423,244,1108,115,499,11855,538,2017,2169,1046
16,Futurlink,Barcelona,1,Passeig de Gracia 49,41.396553,2.189241,176,1055,136,967,14653,778,1390,4796,1566
17,Wuapi,Barcelona,1,,41.387917,2.169919,180,1583,102,168,12895,503,356,3095,1498
18,Aedgency,Barcelona,1,World Trade Center,41.37227,2.17917,645,2250,834,383,12098,1435,985,2430,1928
19,Valoris,Barcelona,1,"Av. Diagonal 453 bis, 4",41.38804,2.12562,341,597,380,182,11041,876,1253,1001,465
20,vLex,Barcelona,1,Consell de Cent 334,41.392852,2.168021,213,1212,138,199,13240,1069,859,3529,954
21,Jobisjob,Barcelona,1,"Avda. Alcalde Barnils, 64 - 68",41.487094,2.07732,866,824,606,11313,4346,1702,11632,4247,1267
22,GeoMe,Barcelona,1,"Rambla de Catalunya 77, 1B",41.387411,2.168518,299,1685,123,79,12779,473,265,2992,1554
