,name,city,office_number,address,latitude,longitude,school_distance,starbucks_distance,airport_distance
0,e-contratos,Valencia,1,"Periodista Azzati, 5. 3, 6B",39.469301,-0.377068,102,144,2694
1,Modo Marketing,Valencia,1,,39.64073,-0.421944,6721,17226,16778
2,Efebege,Valencia,1,"General Barroso, 66",39.4502107,-0.3924646,608,2559,4660
3,Feasa Valencia,Valencia,1,Cami Vera SN,37.2103,-1.85761,2325,100000,21575
4,DOMODESK,Valencia,1,C/Alqueria de Benlloch 24,39.4612679,-0.3983456,84,2031,3528
5,DOMODESK,Madrid,1,C/Arroyo de Fontarron 53,40.4033217,-3.6510254,1643,2356,7740
7,Brightcove,Barcelona,1,Avenida Diagonal 640,41.3939,2.14804,796,1019,12443
8,eyeOS,Barcelona,1,La Rambla 140 4C,41.3854855,2.1702872,1820,205,12702
9,Genoom,Barcelona,1,Gran Capitan 2-4,41.36719,2.06833,2142,2344,7919
10,]project-open[,Barcelona,1,"Ronda de Sant Antonã, 51, 1o 2a",41.383182,2.163697,2229,252,12162
11,Starfish Community Group,Barcelona,1,"Major de Sarria 11, 2-1",41.387917,2.169919,1583,168,12895
12,Trovit,Barcelona,1,"Diagonal 601, 9ª",41.388769,2.1299487,430,56,11257
13,BMAT,Barcelona,1,Carrer de Llacuna 162,41.406335,2.192023,1323,146,14754
14,Splendia,Barcelona,1,"2-4, Rambla de Catalunya",41.38756,2.16796,1693,44,12764
15,Friend2Friend,Barcelona,1,"RossellÃ³, 25 Baixos 2a",41.39023,2.1423,1108,499,11855
16,Futurlink,Barcelona,1,Passeig de Gracia 49,41.396553,2.189241,1055,967,14653
17,Wuapi,Barcelona,1,,41.387917,2.169919,1583,168,12895
18,Aedgency,Barcelona,1,World Trade Center,41.37227,2.17917,2250,383,12098
19,Valoris,Barcelona,1,"Av. Diagonal 453 bis, 4",41.38804,2.12562,597,182,11041
20,vLex,Barcelona,1,Consell de Cent 334,41.392852,2.168021,1212,199,13240
21,Jobisjob,Barcelona,1,"Avda. Alcalde Barnils, 64 - 68",41.487094,2.07732,824,11313,4346
22,GeoMe,Barcelona,1,"Rambla de Catalunya 77, 1B",41.387411,2.168518,1685,79,12779
23,Q-go,Madrid,1,Edificio Lexington,40.49969,-3.66062,438,223,6511
24,Q-go,Barcelona,1,C/Angel Guimera 22,41.396544,2.132385,502,694,12131
25,ipsojobs,Barcelona,1,"Pi i Margall, 7",41.406248,2.163194,679,1000,13715
26,MEDDIA,Barcelona,1,Av. Diagonal 237,41.4018094,2.1815648,321,633,14711
27,Nuroa,Barcelona,1,Carrer de Bailen 7,41.3916792,2.1775706,1017,560,13618
28,Festuc,Barcelona,1,,41.387917,2.169919,1583,168,12895
29,Qajack,Barcelona,1,Passatge de la Pau 10 Bis (1-2),41.378,2.17772,1885,552,12471
30,Bermi Labs,Barcelona,1,Passeig del Callao,41.538143,2.452718,10665,12116,29152
31,Synerquia,Barcelona,1,Via Laietana 36 1 3,41.38578,2.17677,1603,66,13068
33,Softonic,Madrid,1,"Paseo de la Castellana , 180 1Âª planta",40.46323,-3.69012,2166,593,8857
34,3scale,Barcelona,1,"C/Napols 187, 8",41.406335,2.192023,1323,146,14754
36,Softonic,Madrid,1,"Paseo de la Castellana , 180 1Âª planta",40.46323,-3.69012,2166,593,8857
37,3scale,Barcelona,1,"C/Napols 187, 8",41.406335,2.192023,1323,146,14754
38,Widgadget,Barcelona,1,184 rossello at 1,41.392701,2.156538,1015,749,12690
39,Abiquo,Barcelona,1,Avinguda Diagonal 435bis,41.41011,2.21726,3018,137,15579
40,Vertical Social Networks,Barcelona,1,,41.41259,2.143797,1098,2469,12531
41,Qapacity,Barcelona,1,91 Bruc,41.3953856,2.1681311,1016,356,13475
42,Tractis,Barcelona,1,"Carrer Sant Miquel 122, 5Âº-3Âª",41.3762002,2.1897317,1431,623,13034
43,Neurotic,Barcelona,1,C/Ortigosa 14,41.3887383,2.1756189,1357,296,13261
44,doonde,Barcelona,1,Llacuna 162,41.4063346,2.1920231,1323,145,14754
45,Striker Manager,Barcelona,1,Llacuna 162,41.4063346,2.1920231,1323,145,14754
46,Tengaged,Barcelona,1,C/Pedrell,41.4241228,2.1634249,2023,2578,11896
47,NTRglobal,Barcelona,1,Diagonal Litoral,41.38588,2.19507,271,1190,14105
48,Fotohoo,Barcelona,1,,41.387917,2.1699187,1583,168,12895
49,Central Reservations,Barcelona,1,Passeig d'Amunt 7,41.40994,2.15924,473,1493,13214
50,Intergrid,Barcelona,1,Carrer d'en Roig,41.3806494,2.1687187,2370,315,12201
51,TravelCLICK,Barcelona,1,,41.3850639,2.1734035,1792,243,12828
52,eFans,Barcelona,1,Parc InnovaciÃ³ La Salle,41.3775,2.17858,1864,461,12480
53,Mobiquus,Barcelona,1,,41.4322413,2.163444,2887,2968,11086
54,Production Media Network,Barcelona,1,Moll de Barcelona,41.37332,2.17753,2249,442,12084
55,Doctoralia,Barcelona,1,,41.387917,2.1699187,1583,168,12895
56,Fiabee,Barcelona,1,,41.4320885,2.1429029,2965,4202,10438
57,Sowre,Barcelona,1,Muntaner 231,41.3943671,2.1491951,722,1127,12535
58,Sowre,Madrid,1,"guzman el bueno, 133",40.4431637,-3.7125615,1422,1310,9936
59,Openbravo,Barcelona,1,Pau Claris 138,41.3935324,2.1660785,1278,91,13208
60,UserZoom,Barcelona,1,Av. Diagonal 419 3º 2ª,41.40552,2.19205,1286,70,14833
61,illuminate Solutions,Barcelona,1,"Mallorca 318, Principal 2a",41.39775,2.16832,871,595,13700
