,name,city,office_number,address,latitude,longitude,school_distance,starbucks_distance,airport_distance,vegan_distance,basketball_distance,party_distance,dog_distance,design_distance
0,e-contratos,Valencia,1,"Periodista Azzati, 5. 3, 6B",39.469301,-0.377068,102,144,2694,47,2164,764,1142,290
1,Modo Marketing,Valencia,1,,39.64073,-0.421944,6721,17226,16778,18016,10499,13436,11722,12235
2,Efebege,Valencia,1,"General Barroso, 66",39.4502107,-0.3924646,608,2559,4660,1996,2256,2052,1363,1149
3,Feasa Valencia,Valencia,1,Cami Vera SN,37.2103,-1.85761,2325,100000,21575,9964,52458,69153,64879,64655
4,DOMODESK,Valencia,1,C/Alqueria de Benlloch 24,39.4612679,-0.3983456,84,2031,3528,1985,2961,2120,1305,866
5,DOMODESK,Madrid,1,C/Arroyo de Fontarron 53,40.4033217,-3.6510254,1643,2356,7740,2640,2880,3027,3372,2546
7,Brightcove,Barcelona,1,Avenida Diagonal 640,41.3939,2.14804,796,1019,12443,1401,2792,1111,1215,327
8,eyeOS,Barcelona,1,La Rambla 140 4C,41.3854855,2.1702872,1820,205,12702,198,2875,232,1718,133
9,Genoom,Barcelona,1,Gran Capitan 2-4,41.36719,2.06833,2142,2344,7919,4652,4548,4181,729,1046
10,]project-open[,Barcelona,1,"Ronda de Sant Antonã, 51, 1o 2a",41.383182,2.163697,2229,252,12162,261,2397,335,1178,346
11,Starfish Community Group,Barcelona,1,"Major de Sarria 11, 2-1",41.387917,2.169919,1583,168,12895,356,3095,503,1498,180
12,Trovit,Barcelona,1,"Diagonal 601, 9ª",41.388769,2.1299487,430,56,11257,1445,1271,507,265,176
13,BMAT,Barcelona,1,Carrer de Llacuna 162,41.406335,2.192023,1323,146,14754,2369,5219,167,1223,1257
14,Splendia,Barcelona,1,"2-4, Rambla de Catalunya",41.38756,2.16796,1693,44,12764,277,2987,505,1541,343
15,Friend2Friend,Barcelona,1,"RossellÃ³, 25 Baixos 2a",41.39023,2.1423,1108,499,11855,2017,2169,538,1046,244
16,Futurlink,Barcelona,1,Passeig de Gracia 49,41.396553,2.189241,1055,967,14653,1390,4796,778,1566,176
17,Wuapi,Barcelona,1,,41.387917,2.169919,1583,168,12895,356,3095,503,1498,180
18,Aedgency,Barcelona,1,World Trade Center,41.37227,2.17917,2250,383,12098,985,2430,1435,1928,645
19,Valoris,Barcelona,1,"Av. Diagonal 453 bis, 4",41.38804,2.12562,597,182,11041,1253,1001,876,465,341
20,vLex,Barcelona,1,Consell de Cent 334,41.392852,2.168021,1212,199,13240,859,3529,1069,954,213
21,Jobisjob,Barcelona,1,"Avda. Alcalde Barnils, 64 - 68",41.487094,2.07732,824,11313,4346,11632,4247,1702,1267,866
22,GeoMe,Barcelona,1,"Rambla de Catalunya 77, 1B",41.387411,2.168518,1685,79,12779,265,2992,473,1554,299
23,Q-go,Madrid,1,Edificio Lexington,40.49969,-3.66062,438,223,6511,8967,4615,1148,742,2774
24,Q-go,Barcelona,1,C/Angel Guimera 22,41.396544,2.132385,502,694,12131,2321,2101,799,1128,495
25,ipsojobs,Barcelona,1,"Pi i Margall, 7",41.406248,2.163194,679,1000,13715,469,4624,2303,741,123
26,MEDDIA,Barcelona,1,Av. Diagonal 237,41.4018094,2.1815648,321,633,14711,1541,4916,853,1024,870
27,Nuroa,Barcelona,1,Carrer de Bailen 7,41.3916792,2.1775706,1017,560,13618,367,3781,1096,1281,622
28,Festuc,Barcelona,1,,41.387917,2.169919,1583,168,12895,356,3095,503,1498,180
29,Qajack,Barcelona,1,Passatge de la Pau 10 Bis (1-2),41.378,2.17772,1885,552,12471,357,2657,854,1844,22
30,Bermi Labs,Barcelona,1,Passeig del Callao,41.538143,2.452718,10665,12116,29152,28331,1183,12398,13616,11795
31,Synerquia,Barcelona,1,Via Laietana 36 1 3,41.38578,2.17677,1603,66,13068,299,3211,591,1843,91
