,name,city,office_number,address,latitude,longitude,design_distance,school_distance,tech_distance,starbucks_distance,airport_distance,party_distance,vegan_distance,basketball_distance,dog_distance,sum_of_distances
0,e-contratos,Valencia,1,"Periodista Azzati, 5. 3, 6B",39.469301,-0.377068,290,102,330,144,2694,764,47,2164,1142,226006300000
1,Modo Marketing,Valencia,1,,39.64073,-0.421944,12235,6721,10444,17226,16778,13436,18016,10499,11722,3910918800000
2,Efebege,Valencia,1,"General Barroso, 66",39.4502107,-0.3924646,1149,608,1132,2559,4660,2052,1996,2256,1363,593963450000
3,Feasa Valencia,Valencia,1,Cami Vera SN,37.2103,-1.85761,64655,2325,52783,100000,21575,69153,9964,52458,64879,12165192850000
4,DOMODESK,Valencia,1,C/Alqueria de Benlloch 24,39.4612679,-0.3983456,866,84,1055,2031,3528,2120,1985,2961,1305,467100750000
5,DOMODESK,Madrid,1,C/Arroyo de Fontarron 53,40.4033217,-3.6510254,2546,1643,2202,2356,7740,3027,2640,2880,3372,1011631800000
7,Brightcove,Barcelona,1,Avenida Diagonal 640,41.3939,2.14804,327,796,126,1019,12443,1111,1401,2792,1215,843183750000
8,eyeOS,Barcelona,1,La Rambla 140 4C,41.3854855,2.1702872,133,1820,58,205,12702,232,198,2875,1718,867051700000
9,Genoom,Barcelona,1,Gran Capitan 2-4,41.36719,2.06833,1046,2142,956,2344,7919,4181,4652,4548,729,1036110850000
10,]project-open[,Barcelona,1,"Ronda de Sant Antonã, 51, 1o 2a",41.383182,2.163697,346,2229,233,252,12162,335,261,2397,1178,895679700000
11,Starfish Community Group,Barcelona,1,"Major de Sarria 11, 2-1",41.387917,2.169919,180,1583,118,168,12895,503,356,3095,1498,872028700000
12,Trovit,Barcelona,1,"Diagonal 601, 9ª",41.388769,2.1299487,176,430,47,56,11257,507,1445,1271,265,679446250000
13,BMAT,Barcelona,1,Carrer de Llacuna 162,41.406335,2.192023,1257,1323,22,146,14754,167,2369,5219,1223,1045646450000
14,Splendia,Barcelona,1,"2-4, Rambla de Catalunya",41.38756,2.16796,343,1693,81,44,12764,505,277,2987,1541,876390150000
